Application Name,Over-Privileged,Critical Permissions,Direct Access via Secret Permissions Counts,Indirect Access via Secret Manipulation Counts,Indirect Access via Resource Scheduling Control Counts,Indirect Access via Node Manipulation Counts
SREWorks,True,*::cronjobs::*::whole; *::daemonsets::*::whole; *::daemonsets::apps::whole; *::deployments::*::whole; *::deployments::apps::whole; *::jobs::*::whole; *::nodes::*::whole; *::pods::*::whole; *::pods::::whole; *::replicasets::*::whole; *::replicasets::apps::whole; *::secrets::*::whole; *::secrets::::whole; *::statefulsets::*::whole; *::statefulsets::apps::whole; create::deployments::apps::whole; create::jobs::batch::whole; create::pods::::whole; create::statefulsets::apps::whole; get::secrets::::whole; get::secrets::core::whole; list::*::*::whole; list::secrets::::whole; list::secrets::core::whole; patch::deployments::apps::whole; patch::jobs::batch::whole; patch::nodes::::whole; patch::pods::::whole; patch::secrets::::whole; patch::statefulsets::apps::whole; update::deployments::apps::whole; update::jobs::batch::whole; update::pods::::whole; update::secrets::::whole; update::statefulsets::apps::whole; watch::secrets::::whole; watch::secrets::core::whole,39,3,107,14
faas-netes,N/A,,0,0,0,0
LibreChat,N/A,,0,0,0,0
bk-bcs,True,*::daemonsets::apps::whole; *::deployments::apps::whole; *::jobs::batch::whole; *::nodes::::whole; *::pods::::whole; *::pods::core::whole; *::replicasets::apps::whole; *::secrets::core::whole; *::statefulsets::apps::whole; create::daemonsets::apps::whole; create::deployments::apps::whole; create::pods::::whole; create::pods::core::whole; create::replicasets::apps::whole; create::statefulsets::::whole; create::statefulsets::apps::whole; get::*::batch::whole; get::secrets::::whole; get::secrets::core::whole; list::*::batch::whole; list::secrets::::whole; list::secrets::core::whole; patch::daemonsets::apps::whole; patch::deployments::apps::whole; patch::nodes::::whole; patch::pods::::whole; patch::pods::core::whole; patch::replicasets::apps::whole; patch::secrets::::whole; patch::secrets::core::whole; patch::statefulsets::::whole; patch::statefulsets::apps::whole; update::daemonsets::apps::whole; update::deployments::apps::whole; update::nodes::::whole; update::pods::::whole; update::pods::core::whole; update::replicasets::apps::whole; update::secrets::::whole; update::secrets::core::whole; update::statefulsets::::whole; update::statefulsets::apps::whole; watch::*::batch::whole; watch::secrets::::whole; watch::secrets::core::whole,35,10,43,6
cohere-toolkit,N/A,,0,0,0,0
kubernetes-handbook,True,*::deployments::*::whole; *::deployments::apps::whole; *::pods::*::whole; *::pods::::whole; *::secrets::::whole; *::statefulsets::apps::whole; create::pods::::whole; get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; patch::nodes::::whole; patch::pods::::whole; patch::secrets::::whole; update::nodes::::whole; update::pods::::whole; update::secrets::::whole; update::secrets::core::whole; watch::secrets::::whole; watch::secrets::core::whole,31,5,12,2
metalk8s,True,*::secrets::::whole; *::statefulsets::apps::whole; create::daemonsets::apps::whole; create::deployments::apps::whole; create::pods::::whole; create::statefulsets::apps::whole; get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; patch::daemonsets::apps::whole; patch::deployments::apps::whole; patch::secrets::::whole; patch::statefulsets::apps::whole; update::daemonsets::apps::whole; update::deployments::apps::whole; update::secrets::::whole; update::secrets::core::whole; update::statefulsets::apps::whole; watch::secrets::::whole; watch::secrets::core::whole,28,6,17,0
plural,True,*::pods::::whole; get::secrets::core::whole; list::secrets::core::whole; watch::secrets::core::whole,15,0,5,0
docker-postfix,N/A,,0,0,0,0
mssql-docker,N/A,,0,0,0,0
